Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
1	Kazakh-British TU 1	+1 (148:03)	.	+3 (142:36)	+1 (11:11)	+ (19:13)	.	-4	+ (31:57)	+3 (278:05)	+6 (218:07)	+ (50:02)	8	1177
2	Kazakh-British TU 5	+3 (181:36)	.	+12 (258:56)	+1 (28:42)	+ (13:52)	.	+2 (290:37)	+ (97:33)	.	.	+ (65:27)	7	1292
3	Kazakh-British TU 2	+ (37:28)	.	-4	+ (29:03)	+ (10:49)	+6 (241:19)	.	+ (75:31)	-1	.	+ (91:27)	6	603
4	Kazakh-British TU 4	+ (70:43)	.	-1	+ (26:10)	+ (13:44)	.	.	+ (62:38)	-22	.	+ (54:30)	5	225
5	Kazakh-British TU 12	+ (192:38)	.	.	+ (44:50)	+ (20:44)	.	.	+ (136:43)	.	.	+ (91:58)	5	483
6	Kazakh-British TU 7	.	.	.	+1 (63:26)	+ (12:49)	.	.	+ (100:57)	+1 (268:45)	.	+ (49:27)	5	532
7	Kazakh NU 1	+4 (199:00)	.	.	+ (30:25)	+ (12:35)	.	-6	+ (120:29)	.	-1	+ (96:10)	5	537
8	Kazakh-British TU 3	+1 (239:14)	.	-1	+ (22:40)	+ (8:21)	.	.	+1 (101:13)	.	.	+1 (129:46)	5	559
9	Kazakh-British TU 8	.	.	+1 (256:30)	+1 (30:48)	+ (7:26)	.	.	+1 (147:19)	.	.	+ (63:43)	5	563
10	IITU 1	+ (255:51)	.	-1	+ (68:56)	+ (11:58)	.	.	+ (188:28)	.	.	+1 (103:24)	5	645
11	Kazakh-British TU 9	+4 (276:29)	.	.	+6 (150:15)	+ (19:37)	.	.	+1 (194:39)	.	.	+ (129:04)	5	988
12	SDU05	-2	.	-1	+1 (52:29)	+ (19:50)	.	.	+1 (79:54)	.	.	+ (128:50)	4	318
13	IITU 4	-4	.	.	+1 (31:17)	+ (9:09)	.	.	+ (115:22)	.	.	+ (166:13)	4	341
14	SDU04	.	.	.	+2 (27:57)	+1 (15:15)	.	.	+1 (156:13)	-7	.	+ (102:20)	4	380
15	Kazakh-British TU 6	-1	.	.	+ (46:18)	+2 (15:41)	.	.	+1 (186:41)	.	.	+ (85:56)	4	392
16	AUPET 1	-2	.	-4	+2 (27:22)	+2 (37:29)	.	.	+1 (170:47)	.	.	+2 (152:25)	4	526
17	SDU09	.	.	.	+ (65:29)	+ (23:31)	.	.	+1 (189:17)	.	.	+1 (240:24)	4	557
18	SDU02	.	.	.	+3 (54:26)	+ (63:05)	.	.	+1 (215:29)	.	.	+1 (126:03)	4	558
19	Aktau SU	.	.	.	+ (32:20)	+ (12:18)	.	.	+2 (250:18)	.	.	+2 (197:46)	4	571
20	SDU01	.	.	.	+1 (46:55)	+ (19:50)	.	-1	+ (266:23)	.	.	.	3	351
21	SDU03	.	.	.	+ (62:28)	+2 (42:01)	.	.	+ (218:49)	.	.	.	3	362
22	IITU 3	.	.	.	+1 (46:42)	+ (9:52)	.	.	+2 (250:53)	-5	.	-1	3	365
23	SDU10	.	.	.	+2 (75:39)	+1 (20:57)	.	.	+ (226:42)	-5	.	.	3	381
24	KIMEP Almaty	.	.	.	+6 (75:00)	+ (21:05)	.	-3	+ (172:17)	.	.	-7	3	388
25	Kazakh-British TU 10	.	.	.	+2 (58:55)	+ (16:33)	.	.	+1 (263:53)	.	.	-3	3	397
26	IITU 5	.	.	.	+3 (95:57)	+ (10:12)	.	.	.	.	.	+2 (252:09)	3	457
27	AUPET 2	.	.	.	+6 (253:02)	+ (34:30)	.	.	+ (181:43)	.	.	.	3	588
28	SDU12	.	.	.	+6 (275:05)	+ (34:16)	.	.	+ (223:31)	.	.	.	3	652
29	IITU 2	-9	.	.	+ (30:06)	+1 (16:49)	.	-2	.	-7	.	.	2	66
30	EKSTU	.	.	.	+ (77:42)	+1 (28:24)	.	.	-1	.	.	.	2	125
31	Kazakh NU 2	.	.	.	+ (85:17)	+1 (27:23)	.	.	.	.	.	-2	2	132
32	IITU 8	.	.	.	+1 (86:02)	+ (27:18)	.	.	.	.	.	.	2	133
33	Kostanay SU	.	.	.	+4 (28:16)	+ (36:20)	.	.	.	-8	.	.	2	144
33	IITU 6	.	.	.	+1 (76:53)	+1 (28:11)	.	.	.	.	.	-15	2	144
35	Kazakh NU 3	.	.	.	+2 (66:18)	+2 (30:54)	.	.	.	.	.	.	2	176
