11018	1
11023	50
11031	1
11044	45
11072	2
11112	1
11136	40
11149	38
11174	1
11209	41
11253	41
11319	2
11322	50
11331	42
11655	49
11659	39
11869	1
14217	1
14219	1
14220	2
14229	1
14234	40
14615	2
14965	51
14974	68
15416	2
15618	50
16068	1
16070	40
16074	1
16079	40
16327	1
16391	52
16531	56
17102	42
17122	1
17126	1
17130	40
17202	40
17432	41
17702	43
18296	2
18676	2
18701	2
18739	2
18779	45
18903	52
18917	1
19469	38
20666	41
20667	42
20678	1
20703	2
20996	41
21262	47
21360	2
21415	2
21451	1
22291	38
22329	41
22588	1
22781	41
22936	40
22966	1
24296	45
24299	38
24301	38
24312	38
24896	1
25369	42
25486	54
25756	1
26876	1
27043	39
27545	1
27672	1
27785	42
27840	1
27981	48
28104	39
28154	44
28183	1
28193	2
28222	41
31142	1
31143	41
31144	56
31145	1
31169	61
31725	39
32235	1
32384	38
32402	1
32433	44
32800	42
32802	38
32808	1
32811	48
32821	2
32827	2
32833	1
32881	2
32976	38
33081	1
33491	1
33521	1
33550	2
33718	1
33802	44
34631	66
34635	53
34639	2
34648	1
35091	74
35181	59
35304	1
35320	1
35368	44
35407	2

