Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
1	Moscow SU 1	+1 (83:24)	+3 (240:40)	+ (161:52)	+ (99:10)	+ (25:09)	+ (76:17)	+ (147:55)	+1 (252:54)	+ (38:01)	+ (12:30)	+1 (124:24)	11	1377
2	SPb IFMO 1	+1 (123:54)	+1 (295:34)	+ (175:18)	+ (141:03)	+1 (79:07)	+2 (100:23)	+1 (241:30)	+1 (280:29)	+ (21:48)	+1 (48:25)	+ (210:49)	11	1873
3	Altai STU 1	+2 (106:23)	+1 (194:03)	+ (141:09)	+ (102:45)	+ (89:11)	+ (36:23)	+ (182:10)	+ (249:22)	+ (21:18)	+1 (53:19)	-2	10	1253
4	Moscow SU 3	+ (169:26)	+2 (283:29)	+ (141:16)	+ (97:06)	+1 (66:10)	+2 (61:56)	+ (197:41)	+ (245:04)	+ (20:37)	+ (81:23)	.	10	1460
5	Ural SU 2	+ (54:46)	+2 (296:35)	+ (160:23)	+ (260:25)	+ (135:55)	+1 (102:39)	.	+ (186:23)	+1 (26:18)	+ (144:50)	+ (218:40)	10	1661
6	SPb SU 1	+1 (123:28)	+ (276:47)	+3 (194:11)	+ (142:41)	+ (127:45)	+2 (93:06)	+ (221:58)	+ (244:19)	+1 (52:02)	+ (59:02)	.	10	1671
7	Kazakh-British TU 1	+ (15:13)	+ (144:05)	+4 (188:23)	+ (69:43)	+ (78:12)	+1 (123:00)	-4	+ (211:19)	+ (26:39)	+ (183:56)	.	9	1137
8	Ufa SATU	+1 (71:57)	-6	+3 (239:50)	+ (81:04)	+ (105:32)	+ (16:45)	+1 (283:41)	+ (148:27)	+1 (36:19)	+ (136:27)	.	9	1235
9	Saratov SU 2	+ (94:22)	+3 (266:30)	+2 (291:05)	+ (150:19)	+1 (66:55)	+3 (162:14)	.	+2 (273:00)	+ (22:36)	+1 (145:40)	.	9	1709
10	SPb IFMO 3	+ (74:28)	+1 (234:33)	+1 (237:39)	+ (40:25)	+1 (96:57)	+ (54:17)	.	-3	+ (30:37)	+2 (144:35)	.	8	1009
11	Petrozavodsk SU 1	+ (74:48)	+2 (250:36)	.	+ (167:46)	+ (17:09)	+1 (105:38)	.	+ (125:18)	+ (45:44)	+ (196:32)	.	8	1039
12	Yaroslavl SU	+ (135:03)	+ (275:09)	-3	+ (176:32)	+ (52:24)	+1 (202:37)	.	+ (87:46)	+ (30:36)	+ (129:18)	.	8	1106
13	SPb SU 2	+1 (190:40)	.	+ (270:44)	+ (93:31)	+ (113:00)	+ (71:54)	+1 (256:47)	.	+ (48:47)	+ (101:16)	.	8	1182
14	South Ural SU 1	+ (91:22)	+1 (272:12)	.	+ (166:30)	+ (105:26)	+ (69:29)	-2	+ (240:27)	+ (44:02)	+3 (159:43)	.	8	1226
15	Latvia U 3	+1 (227:10)	.	.	+ (148:32)	+ (73:09)	+ (139:37)	+ (266:34)	+2 (296:11)	+ (22:26)	+1 (108:22)	.	8	1359
16	Kyrgyz-Russian Slav U 1	+1 (229:46)	+ (282:25)	.	+ (167:01)	+2 (214:48)	+1 (95:58)	.	+ (273:34)	+ (15:55)	+ (163:18)	.	8	1518
17	Tbilisi SU 1	+ (188:04)	.	+5 (274:18)	+ (100:32)	+ (139:43)	+ (77:14)	.	.	+ (38:23)	+ (22:07)	.	7	938
18	Novosibirsk SU 1	+ (123:32)	-8	+ (199:13)	+ (139:26)	+ (73:14)	+3 (97:10)	.	.	+ (36:47)	+ (253:49)	.	7	980
19	Ural SU 1	+ (78:15)	.	.	+ (184:11)	+ (81:13)	+2 (135:28)	.	+ (220:48)	+ (16:15)	+ (283:05)	.	7	1037
20	Perm SU 1	+2 (102:44)	.	+3 (258:00)	+ (177:19)	+1 (156:06)	+ (77:55)	.	.	+ (20:22)	+1 (121:20)	.	7	1051
21	Moscow IPT 1	+2 (289:32)	.	+2 (266:06)	+ (192:01)	+2 (129:31)	+4 (147:01)	.	.	+ (17:13)	+2 (74:17)	.	7	1354
