Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
1	SPbSU ITMO 2 (Akhi, Bannykh, Poromov)	+ (13:12)	+ (171:52)	+ (259:38)	+1 (104:11)	+ (42:47)	+ (97:10)	+ (49:10)	+ (197:37)	+ (23:09)	+1 (155:52)	+ (80:34)	11	1230
2	Moscow SU 1 (Astakhov, Kornakov, Kumok)	+1 (31:54)	+1 (180:47)	-6	+ (81:38)	+ (28:45)	+ (45:36)	+ (67:02)	+ (161:01)	+2 (84:11)	+ (219:07)	+ (94:07)	10	1070
3	Moscow SU 2 (Fedorov, Kaluzhin, Rogulenko)	+1 (52:58)	+3 (282:57)	.	+1 (126:09)	+ (70:15)	+ (29:07)	+1 (159:02)	+1 (245:44)	+ (78:54)	+2 (293:59)	+2 (202:38)	10	1756
4	SPbSU ITMO 1 (Isenbaev, Kapun, Melnikov)	+ (11:07)	+1 (195:57)	-1	+1 (104:19)	+ (38:27)	+1 (85:01)	+1 (189:46)	+1 (200:14)	+ (23:23)	.	+ (47:44)	9	992
5	Moscow IPT 1 (Dlugach, Gimadeev, Shishkin)	+ (13:45)	+ (243:46)	.	+ (39:22)	+ (65:03)	+ (124:16)	+1 (104:31)	+ (248:28)	+ (60:30)	.	+ (81:22)	9	997
6	SPb SU 1 (Fondaratov, Levin, Smirnov)	+ (15:04)	+1 (235:19)	.	+ (69:37)	+1 (50:58)	+ (111:50)	+1 (92:02)	+ (185:27)	+ (52:32)	-3	+1 (129:47)	9	1018
7	Nizhny Novgorod SU (Epifanov, Shmelev, Vadimov)	+ (12:33)	+ (271:42)	.	+ (54:41)	+1 (44:57)	+ (98:51)	+ (129:30)	+ (295:13)	+ (68:35)	-1	+1 (117:42)	9	1128
8	Saratov SU 2 (Ivanov, Kuznetsov, Rakhov)	+ (12:38)	+2 (276:59)	-1	+ (65:19)	+ (39:43)	+1 (56:22)	+5 (216:41)	+1 (199:05)	+ (26:19)	-13	+ (77:58)	9	1146
9	South Ural SU 1 (Bich, Bogatirev, Vasilenko)	+ (17:48)	+4 (254:15)	.	+ (87:10)	+ (115:15)	+ (167:30)	+ (189:22)	+ (296:26)	+ (78:14)	-1	+1 (139:20)	9	1442
10	Ural SU 1 (Dublennykh, Kurpilyanskiy, Rubinchik)	+1 (39:04)	+ (172:59)	.	+6 (289:13)	+2 (94:16)	+1 (174:26)	+1 (57:34)	+4 (285:10)	+ (91:15)	.	+ (105:53)	9	1606
