Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
1	SPb SU 4 (Kunyavskiy, Egorov, Suvorov)	+ (100:24)	+ (57:35)	.	-1	.	+ (5:25)	+1 (159:52)	+ (29:15)	+1 (49:25)	+ (15:54)	+1 (139:42)	8	613
2	Moscow SU 1 (Pyaderkin, Evstropov, Omelyanenko)	+1 (207:45)	+ (40:06)	.	.	.	+ (14:55)	+ (229:06)	+1 (84:50)	+ (153:33)	+ (43:35)	+1 (141:23)	8	971
3	Saratov SU 1 (Agapov, Fefer, Kudasov)	+ (143:06)	+1 (23:15)	.	-9	.	+ (26:27)	+ (219:20)	+ (100:59)	+ (248:17)	+ (50:42)	+ (173:24)	8	1002
4	Ural FU 1 (Mukhametianov, Merkurev, Krasnoselskikh)	+ (103:54)	+1 (67:32)	.	.	.	+ (7:19)	+2 (265:17)	+ (136:05)	+ (139:37)	+3 (62:10)	+ (143:52)	8	1042
5	SPb SU 1 (Smykalov, Andreev, Pyshkin)	+1 (188:54)	+1 (97:25)	.	.	-4	+ (12:35)	+1 (272:29)	+ (98:47)	+ (59:05)	+3 (83:51)	+1 (188:40)	8	1137
6	Moscow IPT 2 (Mashrabov, Rukhovich, Chebanov)	+2 (187:24)	+ (52:56)	.	.	.	+ (13:11)	+ (286:11)	+ (68:47)	+1 (263:06)	+1 (50:01)	+ (176:10)	8	1175
7	NRU HS of Econ 1 (Alipov, Kolupaev, Kouprin)	+3 (162:30)	+ (134:00)	.	.	-5	+ (13:15)	+ (251:32)	+3 (90:39)	+ (218:57)	+ (35:25)	+2 (189:45)	8	1252
8	SPb NRU ITMO 1 (Vasilyev, Bardashevich, Minaev)	-6	+ (56:20)	.	.	.	+ (17:04)	+1 (248:50)	+ (52:31)	+ (293:16)	+ (14:32)	+ (92:33)	7	792
9	Kaunas TU (Ciakas, Kusas, Pranckaitis)	+2 (262:34)	+1 (92:41)	.	.	.	+ (16:20)	.	+ (97:39)	+1 (166:15)	+ (40:26)	+ (135:51)	7	888
10	Moscow SU 3 (Akhmedov, Gorbunov, Shlyunkin)	+4 (271:02)	+ (22:29)	.	.	.	+ (11:12)	-2	+ (63:32)	+ (276:36)	+2 (59:03)	+ (86:43)	7	908
11	Moscow SU 5 (Vorobyev, Permin, Cherepanov)	+ (225:46)	+1 (52:25)	.	.	.	+ (11:33)	.	+2 (126:27)	+ (183:24)	+2 (107:39)	+ (250:03)	7	1054
