Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
1	SPb IFMO 1	+ (8:44)	+ (22:50)	+1 (133:40)	+1 (225:41)	+ (14:36)	+1 (241:12)	+ (154:41)	+ (48:44)	+1 (80:44)	+ (102:25)	+ (44:26)	+ (270:30)	12	1421
2	Moscow SU 1	+ (6:10)	+ (13:57)	+ (96:24)	+1 (203:27)	+ (22:55)	+ (260:13)	+1 (173:57)	+ (109:16)	+ (42:18)	+1 (163:26)	+ (69:00)	+ (290:27)	12	1506
3	SPb IFMO 2	+ (23:02)	+ (12:54)	+ (195:49)	+2 (182:54)	+ (36:09)	.	+ (216:01)	+ (70:56)	+ (88:59)	+1 (154:32)	+1 (82:39)	+ (275:56)	11	1413
4	Moscow SU 2	+ (12:47)	+ (23:21)	+ (92:33)	+ (215:42)	+ (34:19)	.	+2 (150:28)	+1 (63:06)	+2 (56:29)	+ (169:44)	+ (118:00)	.	10	1032
5	Ufa S Aviation and Tech U 1	+ (21:55)	+ (13:26)	+ (249:01)	+ (200:38)	+ (33:28)	.	+ (150:51)	+ (72:05)	+ (53:21)	+1 (286:45)	+1 (113:47)	.	10	1230
6	SPb SU 3	+ (20:33)	+ (15:18)	+ (280:39)	+ (231:51)	+ (33:28)	.	+ (94:15)	+ (101:47)	+ (108:47)	+ (204:12)	+ (161:57)	.	10	1247
7	Novosibirsk SU 1	+ (6:43)	+ (16:42)	+ (238:12)	+2 (162:35)	+2 (52:26)	-1	+ (257:07)	+ (104:19)	+ (75:44)	+2 (220:42)	+ (114:38)	.	10	1364
8	Nizhniy Novgorod SU	+ (30:26)	+1 (18:29)	+ (187:40)	.	+ (41:17)	.	+ (100:42)	+ (74:35)	+ (87:24)	+ (207:40)	+1 (164:26)	.	9	948
9	Saratov SU 3	+ (10:34)	+ (23:48)	+ (148:06)	+ (278:17)	+ (40:43)	.	+2 (222:39)	+ (92:12)	+ (58:28)	.	+ (76:18)	.	9	987
10	Ural SU 1	+ (26:27)	+ (21:12)	+ (275:59)	+ (202:31)	+ (39:15)	.	+ (90:22)	+ (115:26)	+ (105:29)	-1	+ (152:52)	.	9	1025
11	Belarus SU 1	+ (35:52)	+1 (49:26)	+ (139:53)	+ (211:47)	+ (43:30)	.	+ (184:55)	+ (120:49)	+2 (87:01)	.	+ (104:09)	.	9	1032
12	SPb SU 1	+ (8:31)	+ (53:55)	+1 (185:03)	+1 (155:00)	+ (35:13)	.	+1 (234:26)	+ (89:40)	+2 (70:13)	-1	+ (114:33)	.	9	1043
13	Izhevsk STU	+ (27:53)	+ (18:20)	+ (149:56)	.	+ (46:48)	.	+ (177:50)	+ (102:09)	+ (68:44)	+3 (285:49)	+1 (109:09)	.	9	1061
14	Moscow SU 3	+ (8:54)	+1 (32:35)	+ (244:52)	-2	+ (53:18)	.	+ (225:13)	+ (59:17)	+ (89:03)	+1 (151:10)	+4 (187:09)	.	9	1168
15	Saratov SU 2	+ (40:12)	+ (24:44)	+ (179:51)	+8 (293:48)	+1 (46:31)	.	+ (145:49)	+1 (160:23)	+ (66:12)	-1	+1 (101:47)	.	9	1274
16	Moscow SU 4	+ (25:51)	+ (37:01)	.	+2 (136:22)	+ (19:33)	.	+1 (258:04)	+ (115:25)	+1 (101:16)	+1 (281:21)	+2 (238:42)	.	9	1350
17	Altai STU 1	+ (10:37)	+3 (47:29)	+5 (290:23)	+2 (183:51)	+ (73:35)	.	+ (205:08)	+ (77:13)	+ (88:40)	.	+2 (167:46)	.	9	1380
18	Perm SU 1	+ (9:14)	+1 (38:13)	+ (191:53)	+5 (237:59)	+ (16:26)	.	+4 (288:20)	+ (136:44)	+ (62:14)	.	+3 (154:02)	.	9	1391
19	Petrozavodsk SU 1	+ (18:35)	+ (12:17)	+ (152:15)	-9	+ (69:31)	.	+ (188:13)	+ (86:43)	+2 (75:53)	.	+1 (123:37)	.	8	783
20	SPb IFMO 4	+ (32:14)	+ (20:16)	+1 (238:21)	-4	+ (45:32)	.	+1 (200:05)	+ (138:44)	+ (128:52)	.	+2 (83:15)	.	8	964
21	Moscow Engineering and Phys I	+ (10:49)	+ (28:29)	+1 (216:11)	-2	+ (45:10)	.	+1 (271:00)	+ (171:29)	+ (102:31)	.	+1 (132:20)	.	8	1035
22	Moscow I of Phys and Tech 2	+ (12:57)	+1 (57:54)	-1	.	+ (33:43)	.	+ (283:31)	+ (104:29)	+ (120:55)	+1 (230:12)	+ (157:45)	.	8	1036
23	Orel STU 1	+ (46:10)	+ (31:40)	+1 (289:09)	.	+ (20:29)	.	+1 (230:26)	+ (91:40)	+ (106:18)	.	+1 (195:40)	.	8	1068
24	Tbilisi SU 1	+ (28:45)	+ (20:47)	+3 (270:39)	.	+1 (50:08)	.	+4 (216:16)	+ (102:06)	+1 (66:02)	.	+2 (129:09)	.	8	1101
25	Moscow I of Phys and Tech 1	+ (12:46)	+ (40:20)	+ (202:41)	.	+4 (69:06)	.	+3 (207:19)	+1 (102:21)	+3 (120:54)	-2	+2 (175:15)	.	8	1187
26	Kyrgyz-Russian Slavic U 1	+ (24:34)	+ (18:03)	+1 (124:03)	+1 (217:23)	+1 (73:09)	.	-8	+1 (161:27)	+ (139:23)	.	+5 (279:34)	.	8	1215
27	SPb IFMO 3	+2 (30:06)	+ (39:07)	+3 (273:30)	.	+ (52:39)	.	+1 (228:39)	+2 (280:33)	+3 (142:50)	.	+2 (154:35)	.	8	1458
28	Belarus SU 2	+ (18:27)	+ (50:42)	+1 (153:48)	-6	+1 (42:56)	.	.	+ (86:16)	+3 (213:00)	.	+1 (76:46)	.	7	758
29	South Ural SU 	+ (13:34)	+ (33:16)	-4	.	+ (47:23)	.	+1 (230:12)	+ (185:10)	+ (131:40)	.	+1 (113:47)	.	7	792
30	SPb SU 2	+ (14:38)	+ (26:52)	+1 (273:17)	.	+ (42:20)	.	.	+ (132:48)	+3 (121:08)	-2	+ (175:28)	.	7	863
31	Petrozavodsk SU 2	+ (33:06)	+ (24:02)	+3 (268:09)	.	+ (46:42)	.	.	+ (184:41)	+1 (163:52)	.	+1 (91:23)	.	7	909
32	SPb ETU 1	+ (23:06)	+ (47:16)	-5	+5 (237:39)	+1 (63:54)	.	.	+1 (246:35)	+ (122:06)	.	+ (79:14)	.	7	957
33	Latvia U 1	+1 (18:32)	+ (55:18)	+2 (228:32)	-5	+ (38:04)	.	+2 (297:19)	+ (73:19)	+5 (142:58)	.	-3	.	7	1051
34	Vologda S Ped U	+ (34:31)	+ (16:16)	+ (172:39)	.	+ (57:11)	.	.	+ (214:37)	+2 (179:16)	.	+8 (289:02)	.	7	1161
35	Tomsk SU 1 	+ (59:18)	+ (91:49)	.	.	+1 (56:21)	.	+ (251:49)	+ (220:22)	+3 (277:11)	.	+1 (194:51)	.	7	1248
36	Ivanovo SPU	+1 (19:37)	+ (75:26)	+8 (295:08)	.	+ (69:26)	.	.	+1 (228:02)	+2 (148:59)	.	+ (175:39)	.	7	1249
37	Orenburg SU	+ (19:48)	+1 (43:33)	.	-10	+ (52:08)	.	+ (238:19)	+1 (281:36)	+3 (161:25)	.	+5 (264:05)	.	7	1258
38	Tartu U	+ (47:15)	+ (42:27)	+ (162:27)	.	+2 (74:22)	.	.	+2 (293:40)	+4 (207:56)	-5	+2 (248:39)	.	7	1273
39	Ural SU 2	+ (8:34)	+ (55:15)	.	+10 (230:20)	+ (44:43)	.	+4 (271:50)	+ (168:35)	+1 (293:42)	.	-9	.	7	1369
40	SPb SU 4	+1 (32:51)	+ (64:22)	+ (192:53)	.	+ (81:42)	.	-1	+ (121:10)	+ (108:58)	.	.	.	6	618
41	Belarus SU 3	+ (13:48)	+ (37:56)	-2	.	+ (53:26)	.	-2	+ (199:10)	+1 (148:38)	.	+2 (169:32)	.	6	679
