Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
1	Saratov SU 1 (Bondarenko, Matov, Pak)	+ (100:27)	+ (39:35)	.	+4 (283:56)	.	+ (113:46)	+ (21:36)	+ (65:34)	+ (46:22)	+ (59:02)	+ (206:13)	9	1012
2	Moscow SU 3 (Angelyuk, Astakhov, Maksimenko)	+ (126:13)	+1 (28:15)	+4 (177:38)	-1	+1 (295:40)	+ (130:33)	+ (44:58)	+ (37:47)	+ (68:51)	+ (61:48)	.	9	1086
3	Moscow SU 4 (Gusakov, Kornakov, Razenshteyn)	+ (112:14)	+ (13:51)	.	+4 (259:13)	.	+1 (84:28)	+ (26:35)	+ (44:01)	+ (92:03)	+2 (62:57)	+2 (237:47)	9	1109
4	Saratov SU 2 (Ivanov, Klenov, Rakhov)	+1 (203:17)	+ (21:41)	.	+4 (283:02)	.	+ (149:38)	+ (29:27)	+ (58:05)	+ (50:55)	+ (44:54)	+2 (265:11)	9	1242
5	SPb SU 1 (Davydov, Kopeliovich, Petrov)	+ (130:52)	+ (13:46)	-1	-6	.	+ (68:40)	+ (37:26)	+ (19:12)	+ (46:28)	+ (32:08)	+ (96:21)	8	441
6	SPb IFMO 1 (Buzdalov, Isenbaev, Kapun)	+1 (66:56)	+ (18:55)	+ (240:20)	-6	.	+1 (95:05)	+ (11:37)	+ (22:19)	+ (27:51)	+1 (50:45)	-19	8	589
7	Tbilisi SU 1 (Bogdanov, Jimsheleishvili, Lekveishvili)	+ (123:59)	+ (38:35)	.	-4	.	+1 (100:24)	+ (46:23)	+ (65:49)	+ (56:56)	+ (27:51)	+ (196:58)	8	671
8	Ural SU 1 (Ayzenshteyn, Chevdar, Samsonov)	+ (120:11)	+ (33:54)	.	-4	.	+ (86:56)	+ (24:24)	+ (40:30)	+ (52:22)	+ (194:04)	+ (233:27)	8	782
9	Belarusian SU 1 (Pronin, Rudol, Tsikhan)	+1 (203:22)	+ (30:09)	.	-4	.	+ (149:37)	+ (16:05)	+ (45:33)	+ (57:43)	+1 (91:23)	+4 (245:05)	8	956
10	Novosibirsk SU 1 (Atuchin, Butyugin, Sorokin)	+ (169:39)	+ (53:40)	.	-2	.	+1 (223:17)	+ (22:53)	+ (42:42)	+ (61:18)	+1 (37:12)	+3 (292:08)	8	999
11	Moscow SU 2 (Khalyavin, Miniailau, Shavlyugin)	+2 (226:45)	+ (13:49)	+5 (271:51)	.	.	+ (136:31)	+ (33:30)	+ (23:22)	+ (69:08)	+2 (94:17)	.	8	1045
12	Altai STU 1 (Akinshin, Izbyshev, Kolosovskiy)	+ (186:14)	+3 (61:00)	.	.	.	+ (130:52)	+1 (45:49)	+ (98:13)	+ (65:59)	+1 (101:11)	+2 (268:19)	8	1094
13	Southern Ural SU (Bich, Mayorov, Vasilenko)	+3 (223:21)	+ (14:35)	+2 (251:34)	-4	.	+1 (206:14)	+ (41:53)	+1 (51:18)	+ (24:05)	+3 (95:04)	.	8	1105
14	NTU of Ukraine KPI (Kasitskyi, Korduban, Sliusarenko)	+ (240:08)	+1 (38:18)	.	.	.	+ (181:01)	+1 (20:51)	+2 (95:55)	+ (54:39)	+1 (107:45)	+ (288:55)	8	1123
15	SPb SU 2 (Bankevich, Gladkikh, Smirnov)	+ (265:30)	+ (93:37)	.	.	.	+ (183:31)	+ (44:00)	+ (59:58)	+1 (104:31)	+2 (51:21)	+3 (255:50)	8	1174
16	Belarusian SU 2 (Aliaksei, Mikhail, Tolstsikau)	+1 (198:21)	+3 (65:30)	.	.	.	+1 (216:12)	+ (33:41)	+ (37:19)	+ (76:05)	+ (184:28)	+1 (273:11)	8	1202
17	Izhevsk STU (Chudinovskikh, Kamashev, Kuzyakov)	+ (131:44)	+ (13:18)	.	.	.	+ (93:51)	+ (32:03)	+ (26:07)	+ (65:48)	+ (53:48)	-6	7	413
18	Petrozavodsk SU 1 (Denisov, Nikolaevskiy, Nikolaevskiy)	+ (115:39)	+ (15:48)	-3	-4	.	+ (128:37)	+ (23:52)	+ (65:41)	+ (32:10)	+1 (55:12)	.	7	453
19	Perm SU (Durakov, Krayev, Okunev)	+ (116:37)	+ (43:17)	.	.	.	+2 (188:04)	+ (45:43)	+ (14:48)	+ (56:12)	+ (76:19)	-1	7	578
