Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
1	Petrozavodsk SU 1 (Denisov, Nikolaevskiy, Nikolaevskiy)	+ (80:26)	+ (10:04)	+3 (277:19)	+1 (58:40)	.	+ (95:15)	+4 (255:25)	+ (15:10)	+1 (187:50)	+ (164:21)	.	9	1321
2	Moscow SU 1 (Gusakov, Kornakov, Razenshteyn)	+1 (252:56)	+ (14:58)	.	+ (48:56)	-7	+ (79:40)	+ (125:33)	+ (18:32)	+4 (208:59)	+ (123:21)	.	8	967
3	SPb IFMO 2 (Akhi, Bannykh, Poromov)	+2 (275:53)	+1 (13:19)	-4	+ (38:58)	.	+3 (103:56)	+ (67:24)	+ (18:28)	+1 (224:08)	+1 (145:09)	.	8	1043
4	SPb IFMO 1 (Buzdalov, Isenbaev, Kapun)	+ (135:13)	+ (8:28)	+ (246:02)	+4 (60:00)	.	+2 (133:18)	+ (198:08)	+ (17:38)	-16	+ (142:27)	-5	8	1059
5	Saratov SU 1 (Bondarenko, Matov, Yakunin)	+ (291:51)	+ (16:27)	.	+ (25:34)	.	+2 (137:31)	+ (206:51)	+ (9:27)	+1 (210:42)	+1 (96:39)	.	8	1070
6	SPb SU 1 (Antipov, Levin, Smirnov)	+1 (243:30)	+1 (12:47)	+ (125:17)	+ (41:26)	.	+ (104:00)	+ (258:21)	+ (21:18)	.	+ (291:45)	.	8	1135
7	Belarusian SU 2 (Bahdanau, Labanau, Tolstsikau)	+4 (298:13)	+ (17:34)	-3	+ (35:48)	.	+3 (119:23)	+ (225:57)	+1 (15:41)	+2 (257:36)	+ (168:52)	.	8	1334
8	Saratov SU 2 (Ivanov, Kreys, Rakhov)	.	+1 (18:36)	-2	+1 (67:10)	+ (202:45)	+3 (99:50)	+1 (230:54)	+ (26:33)	.	+ (51:42)	.	7	813
9	Samara SAU 1 (Drozdov, Egorov, Semushin)	.	+1 (18:30)	+1 (273:20)	+2 (65:13)	.	+1 (86:37)	+2 (193:00)	+ (23:42)	.	+ (126:00)	.	7	924
10	Ural SU 2 (Burmistrov, Dublennykh, Kurpilyansky)	.	+1 (16:15)	.	+ (53:29)	.	+1 (117:16)	+1 (193:47)	+ (18:50)	+ (164:20)	+3 (246:45)	.	7	927
11	Moscow SU 4 (Kaluzhin, Kharitonov, Rogulenko)	.	+ (10:01)	+ (263:32)	+ (39:46)	.	+ (78:33)	+2 (215:36)	+ (20:46)	-4	+3 (212:30)	.	7	937
12	Ufa SATU 1 (Akhmetzyanov, Marin, Nefedov)	+1 (288:45)	+1 (18:02)	.	+ (65:04)	.	+1 (100:36)	+1 (288:35)	+ (22:17)	-1	+2 (194:20)	.	7	1095
13	SPb IFMO 3 (Kever, Melnikov, Nigmatullin)	-1	+1 (35:15)	+2 (208:24)	+ (80:37)	.	+3 (110:58)	+ (252:43)	+ (20:01)	+ (280:45)	.	.	7	1105
14	Belarusian SU 3 (Yarats, Pisarchyk, Udavichenka)	.	+ (14:49)	.	+ (55:23)	.	+ (66:42)	+ (198:38)	+ (19:48)	-4	+ (146:32)	.	6	498
15	Izhevsk STU (Chudinovskikh, Kamashev, Kuzyakov)	-6	+1 (13:12)	+2 (241:19)	+ (65:47)	.	+ (56:19)	.	+ (23:41)	-2	+2 (102:19)	.	6	600
16	HS of Economics (Babin, Samoylych, Tkachev)	+ (258:23)	+1 (17:57)	.	+1 (58:51)	.	+ (136:51)	.	+ (31:47)	+ (92:25)	-8	.	6	632
17	Belarusian SU 1 (Pronin, Rudol, Tsikhan)	+ (252:13)	+1 (24:42)	.	+1 (38:28)	.	+1 (153:21)	-7	+ (23:12)	-1	+1 (162:36)	.	6	732
18	Novosibirsk SU 1 (Kurtov, Sorokin, Atuchin)	.	+ (15:13)	-9	+ (40:25)	.	+2 (115:50)	+8 (289:23)	+ (20:05)	.	+ (128:51)	.	6	807
19	Moscow SU 2 (Kolesnichenko, Kumok, Tikhomirov)	.	+1 (26:00)	-1	+1 (40:28)	.	+3 (163:38)	+ (236:23)	+ (10:53)	.	+1 (252:33)	.	6	847
20	Siberian SUTI 1 (Bakhturin, Rakitskiy, Bakh)	-2	+1 (23:31)	.	+ (56:04)	.	+ (167:15)	.	+ (33:56)	.	+2 (142:34)	.	5	481
21	Orel STU (Kouprin, Valukhova, Vetrov)	.	+1 (12:04)	.	+1 (59:03)	.	+ (90:26)	.	+ (21:34)	.	+2 (253:47)	.	5	515
22	Saratov SU 3 (Fefer, Kudryashov, Stepanenko)	.	+ (26:49)	.	+ (48:40)	.	+2 (231:02)	-1	+ (11:05)	.	+1 (159:04)	.	5	535
23	Tomsk SU of CSR 1 (Park, Boyko, Bazhinov)	.	+ (25:22)	-1	+ (38:56)	.	+2 (167:21)	.	+ (16:59)	.	+3 (194:23)	.	5	540
24	Magnitogorsk STU (Dyatlov, Lobanov, Weiss)	.	+ (13:43)	.	+ (41:13)	.	+ (106:15)	.	+ (23:59)	-2	+6 (246:36)	.	5	549
25	South Ural SU 1 (Bich, Mayorov, Vasilenko)	-3	+1 (16:02)	+1 (187:57)	+1 (38:45)	.	+ (257:03)	.	+ (21:27)	.	-6	-2	5	579
26	Tomsk SU 1 (Chadnov, Kolupaev, Panin)	.	+1 (38:44)	.	+ (76:04)	.	+4 (145:00)	.	+ (21:19)	.	+1 (243:58)	.	5	643
27	SPb SU 2 (Serebryakov, Vorobyev, Zemlyanskiy)	.	+1 (18:19)	.	+ (63:20)	.	+2 (215:32)	-10	+ (27:55)	.	+ (292:56)	.	5	675
28	Moscow EPhI 1 (Alyushin, Egorov, Osmakov)	.	+2 (56:21)	.	+1 (87:42)	.	+ (192:01)	.	+ (40:38)	.	+ (247:53)	.	5	682
29	SPb SU 3 (Boykiy, Fondaratov, Gladysheva)	.	+3 (32:10)	+1 (229:45)	+1 (55:31)	.	+3 (173:33)	.	+ (41:09)	.	.	.	5	690
30	Acad Phys Tech U (Mishunin, Sokolov, Yaroslavtsev)	.	+ (18:22)	.	+3 (100:37)	.	+1 (194:18)	.	+ (25:09)	.	+ (275:11)	.	5	692
31	Far Eastern NU 1 (Burago, Tuphanov, Zhuplev)	.	+ (15:58)	.	+ (53:30)	.	+4 (231:10)	.	+ (23:29)	.	+2 (287:50)	.	5	729
32	Yerevan RAU 1 (Saribekyan, Saribekyan, Yeghiazaryan)	.	+ (21:09)	.	+2 (76:36)	.	.	+ (243:40)	+ (45:53)	.	+1 (286:29)	.	5	731
33	Nizhny Novgorod SU (Lapshin, Matrosov, Shmelev)	.	+1 (29:37)	.	+ (75:20)	.	+4 (243:25)	.	+ (21:39)	-5	+4 (248:25)	.	5	796
34	Belarusian SU 4 (Beloglazov, Skuratovich, Valynets)	-4	+2 (55:05)	+5 (289:17)	+ (106:43)	.	+ (153:00)	.	+1 (35:25)	.	.	.	5	798
35	Moscow IPT 1 (Davydow, Gorshenin, Pimenov)	.	+1 (30:35)	+6 (282:01)	+ (70:42)	.	+7 (290:01)	-3	+ (29:44)	.	.	.	5	981
36	Moscow IPT 2 (Degtyarev, Morgun, Tolmachev)	.	+ (20:19)	+14 (298:02)	+2 (96:09)	.	+14 (222:43)	.	+ (17:58)	.	.	.	5	1253
37	Kaunas TU 1 (Banaitis, Mitkus, Viktorcik)	.	+ (17:43)	.	+ (73:52)	.	+ (103:52)	-4	+ (23:19)	-3	.	.	4	216
38	Volgograd STU 1 (Chalyshev, Kokonkov, Zhorin)	.	+ (38:13)	.	+ (53:37)	.	.	.	+ (22:51)	-5	+ (135:07)	.	4	248
39	Tomsk S Pol U 1 (Khaustov, Ryzhov, Alipov)	.	+ (29:11)	.	+ (63:46)	.	+ (137:34)	.	+ (36:53)	.	-2	.	4	265
40	Nizhny Novgorod STU (Lazarev, Lopatkin, Mkhitaryan)	.	+1 (38:12)	.	+ (54:39)	.	+2 (187:29)	.	+ (16:15)	.	.	.	4	355
41	Tyumen SU (Chernenkov, Pidzhakov, Prudaev)	.	+2 (49:06)	.	+ (27:03)	.	-24	.	+ (12:51)	.	+ (238:54)	.	4	366
42	Perm SU (Ponomarev, Sergeev, Serovikov)	.	+1 (44:30)	.	+ (55:34)	.	+3 (158:42)	.	+1 (27:37)	-4	-2	.	4	384
43	Petrozavodsk SU 2 (Basunkov, Fedulin, Filippov)	.	+1 (17:19)	.	+ (61:31)	.	-1	.	+ (38:02)	-2	+ (257:32)	.	4	393
44	SPb SU 4 (Merabishvili, Samojlov, Udalov)	.	+1 (23:37)	.	+ (44:21)	.	+3 (222:29)	.	+ (26:57)	.	.	.	4	395
45	Yerevan SU 1 (Hakobyan, Shatakhtsyan, Aslanyan)	.	+2 (28:08)	.	+2 (64:25)	.	+1 (203:44)	.	+ (15:14)	.	.	.	4	410
46	Saratov SU 4 (Akimov, Kuznetsov, Levshunov)	.	+ (21:07)	.	+ (54:38)	.	-10	.	+ (28:47)	-1	+4 (233:56)	.	4	416
47	SPb IFMO 4 (Alexandrov, Kazakov, Sergushichev)	.	+1 (28:45)	.	+3 (88:26)	.	-4	.	+ (24:10)	.	+1 (189:36)	.	4	429
48	Belarusian SUIR 1 (Ropan, Tkachenka, Zhlobich)	.	+1 (49:10)	.	+ (69:10)	.	-7	.	+ (43:35)	.	+3 (205:05)	.	4	446
49	Altai STU 1 (Izbyshev, Boychenko, Esipenko)	.	+ (53:24)	.	+1 (68:46)	.	-3	.	+ (42:47)	.	+2 (258:52)	.	4	481
50	Kazakh-British TU 1 (Yeliussizov, Yessenamanov, Baizhikenov)	.	+ (26:16)	.	+ (67:00)	.	+8 (198:05)	.	+ (32:21)	.	-1	.	4	483
51	Moscow AI (Dubinin, Risenberg, Safonov)	.	+ (53:08)	.	+1 (77:01)	.	+4 (190:33)	.	+1 (45:20)	.	-4	.	4	485
52	Bauman Moscow STU (Akolzin, Bugaevsky, Verkhoglyadov)	.	+ (26:09)	.	+1 (64:33)	.	+8 (169:42)	.	+1 (37:21)	.	-2	.	4	496
53	Rybinsk SAAT 2 (Kiselyov, Mirzoyan, Mirzoyan)	.	+4 (35:10)	+2 (221:31)	+ (103:52)	.	-3	.	+ (31:01)	.	-1	.	4	510
54	Tbilisi SANGU 1 (Benidze, Rukhadze, Rachvelishvili)	.	+ (15:51)	.	+ (74:37)	.	+6 (286:36)	.	+ (30:26)	.	-3	.	4	525
55	Volgograd STU 2 (Borodinov, Kryzanovsky, Musman)	.	+1 (26:33)	.	+ (77:11)	.	+3 (276:47)	.	+2 (37:19)	.	.	.	4	536
56	Kaunas TU 2 (Kasperavicius, Kazlauskas, Neverauskas)	.	+2 (131:18)	.	+ (88:24)	.	-3	.	+ (38:59)	.	+1 (240:23)	.	4	557
57	Ural SU 3 (Dolgorukov, Soboleva, Tekhazheva)	-1	+2 (55:29)	.	+ (113:43)	.	.	.	+1 (45:45)	.	+1 (266:32)	.	4	559
58	Novosibirsk SU 2 (Golubev, Vasilevsky, Scherbina)	-5	+1 (29:39)	.	+ (60:09)	.	.	.	+1 (48:00)	.	+6 (282:05)	.	4	579
59	Pomor SU (Osichev, Tchurov, Zabolotskaya)	.	+ (26:41)	.	+1 (113:00)	.	+6 (263:37)	.	+2 (20:06)	-3	-3	.	4	602
59	Kant SU of Russia 2 (Balychev, Vashchegin, Zhasan)	.	+ (55:04)	.	+1 (76:55)	.	-1	.	+ (35:16)	.	+6 (296:46)	.	4	602
61	Ural SU 1 (Efremov, Fominykh, Kantorov)	.	+2 (24:00)	.	+2 (67:55)	.	+8 (249:33)	.	+ (30:53)	.	.	.	4	610
62	Udmurt SU (Abizyaev, Bikov, Urbanovich)	.	+3 (50:58)	.	+ (74:31)	.	-2	.	+1 (27:14)	-1	+6 (260:47)	.	4	611
63	Tbilisi SU 3 (Gabisonia, Barbakadze, Kutsia)	.	+5 (73:46)	.	+2 (123:40)	.	+1 (227:04)	.	+ (31:51)	.	-1	.	4	614
64	Novosibirsk STU 1 (Dubovik, Ukolov, Anisimov)	.	+1 (40:24)	.	+2 (75:01)	.	.	.	+ (39:18)	.	+6 (293:48)	.	4	627
65	Yerevan RAU 3 (Davtyan, Hovsepyan, Shahinyan)	.	+3 (63:14)	.	+ (123:26)	.	.	.	+ (57:05)	.	+4 (269:29)	.	4	652
66	Gomel SU (Korzhik, Timoshkov, Veraksich)	.	+2 (127:59)	.	+ (87:01)	.	-5	.	+ (51:19)	.	+7 (256:18)	.	4	701
67	Belarusian SUIR 2 (Benko, Vorobyov, Yushkevich)	.	+3 (99:24)	.	+1 (127:42)	.	+5 (229:31)	.	+3 (81:03)	.	-13	.	4	776
68	Moscow SU 3 (Lerner, Salikhov, Valiev)	-1	+1 (40:54)	.	+4 (125:42)	.	+6 (260:56)	-1	+5 (47:57)	.	.	.	4	792
