Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
1	Moscow SU 2	+1 (106:50)	+2 (181:11)	+ (54:33)	.	+1 (222:49)	+ (286:17)	+ (32:07)	-2	+ (72:36)	+ (22:03)	+ (12:27)	9	1067
2	SPb IFMO 1	+ (53:21)	+1 (190:48)	+1 (120:23)	.	+1 (224:59)	+2 (287:43)	+ (15:47)	-17	+ (117:16)	+1 (30:19)	+ (11:28)	9	1167
3	Moscow SU 1	+ (149:34)	+1 (195:06)	+ (35:30)	.	+1 (143:41)	-1	+ (40:25)	.	+2 (79:32)	+1 (31:04)	+ (16:42)	8	788
4	Saratov SU 2	+ (112:30)	+2 (296:11)	+ (129:18)	.	+1 (197:07)	.	+ (45:47)	.	+ (68:06)	+ (22:58)	+ (9:00)	8	938
5	Novosibirsk SU 1	+ (183:38)	+1 (278:29)	+ (74:54)	.	+ (219:35)	.	+ (35:54)	-4	+ (143:17)	+ (28:29)	+ (42:32)	8	1022
6	Petrozavodsk SU 2	+ (169:50)	+ (275:30)	+ (100:38)	.	+1 (218:30)	.	+ (39:13)	.	+ (179:44)	+ (14:47)	+ (22:32)	8	1036
7	SPb IFMO 3	+1 (280:32)	+1 (283:39)	+ (61:56)	.	+ (213:36)	.	+ (34:49)	.	+1 (163:36)	+ (29:48)	+ (13:16)	8	1136
8	Ural SU 1	+ (284:34)	.	+2 (81:58)	.	+ (184:45)	.	+ (45:32)	.	+ (132:12)	+1 (31:20)	+ (24:44)	7	841
9	Belarusian SU 1	+ (195:20)	-3	+ (108:11)	.	+ (204:23)	.	+ (49:50)	.	+ (154:47)	+4 (68:49)	+ (22:12)	7	880
10	Orel STU 1	+1 (277:11)	.	+ (105:07)	.	+2 (200:43)	.	+ (51:13)	.	+ (186:49)	+ (27:22)	+ (38:20)	7	944
11	SPb SU 1	+ (294:37)	+4 (265:12)	+1 (121:36)	.	-1	.	+ (26:49)	.	+ (118:33)	+1 (29:08)	+1 (37:58)	7	1030
12	Ural SU 2	+ (246:31)	+7 (285:37)	+ (69:10)	.	+1 (170:38)	.	+ (49:25)	.	-1	+1 (32:45)	+ (9:36)	7	1040
13	SPb SU 2	.	+6 (299:29)	+4 (151:56)	.	+2 (193:37)	.	+1 (41:08)	.	+ (90:26)	+ (32:18)	+ (19:59)	7	1085
14	Moscow SU 3	+ (250:22)	+2 (142:13)	+4 (186:33)	.	.	.	+ (40:09)	.	+3 (285:47)	+ (11:45)	+ (22:24)	7	1116
15	Stavropol SU	+3 (299:50)	.	+4 (108:09)	.	+2 (287:14)	.	+ (57:38)	.	+2 (160:15)	+1 (18:49)	+1 (30:41)	7	1219
16	Vologda SPU	.	.	+1 (137:44)	.	+ (145:09)	.	+ (45:21)	.	+3 (193:01)	+1 (15:59)	+ (39:04)	6	674
17	Kazakh NU 1	-1	.	+ (78:21)	.	+ (167:12)	.	+ (49:59)	.	+4 (297:07)	+1 (28:50)	+ (14:43)	6	733
18	Saratov SU 3	+ (168:58)	.	+1 (98:50)	.	+1 (291:02)	.	+ (53:45)	.	-4	+1 (40:50)	+ (26:50)	6	736
19	SPb Polytechnical U 1	.	.	+ (162:44)	.	+ (266:15)	.	+ (44:37)	.	+ (118:34)	+3 (68:58)	+ (19:20)	6	737
20	Altai STU 1	-2	.	+2 (117:48)	.	+3 (275:10)	.	+ (40:30)	.	+ (180:58)	+ (15:33)	+ (33:07)	6	760
21	Tartu U	.	-2	+ (172:46)	.	+ (111:30)	.	+1 (17:44)	.	+1 (278:32)	+3 (50:42)	+ (33:41)	6	761
22	SPb IFMO 2	-7	.	+ (55:16)	.	+3 (181:23)	.	+ (81:21)	-4	+1 (268:52)	+1 (15:36)	+ (83:13)	6	783
23	Petrozavodsk SU 1	.	.	+1 (132:31)	.	+5 (256:37)	.	+ (52:54)	.	+ (105:42)	+2 (65:40)	+ (24:39)	6	794
24	South Ural SU	-4	+2 (276:01)	+1 (121:07)	.	-3	.	+ (48:09)	.	+1 (188:03)	+1 (19:33)	+1 (34:56)	6	806
25	SPb SU 3	+ (204:12)	.	+1 (261:16)	.	.	.	+ (53:36)	.	+ (279:19)	+ (44:32)	+ (22:34)	6	883
26	Saratov SU 1	-7	.	-2	.	+ (127:27)	.	+ (39:18)	.	+ (180:17)	+ (15:29)	+ (26:28)	5	387
27	Yerevan SU 1	.	-2	+3 (139:28)	.	-3	.	+ (53:08)	.	+ (202:32)	+2 (47:09)	+ (40:32)	5	581
28	Izhevsk STU 1	+5 (270:23)	.	+1 (107:47)	.	-9	.	+ (43:11)	.	.	+ (17:03)	+1 (29:12)	5	606
29	Rybinsk SAAT	.	.	+1 (137:16)	.	+1 (286:52)	.	+ (68:39)	.	.	+ (49:34)	+1 (31:13)	5	631
30	SPb IFMO 4	.	.	-4	.	+ (288:25)	.	+ (48:43)	.	+ (217:22)	+1 (29:35)	+1 (28:26)	5	650
31	Tbilisi SU 1	.	.	-3	.	+ (194:43)	.	+ (49:48)	-1	+2 (274:03)	+1 (42:43)	+ (41:19)	5	660
32	SPb ETU	+7 (294:02)	.	+ (102:09)	.	-3	.	+ (48:02)	.	-1	+ (31:40)	+1 (35:48)	5	670
33	Vilnius U 1	.	+1 (230:41)	+ (143:29)	.	.	.	+1 (96:32)	.	.	+1 (85:59)	+ (62:06)	5	676
34	Perm SU 1	+6 (282:38)	.	+2 (128:17)	.	.	.	+ (56:32)	.	-5	+ (24:15)	+1 (43:07)	5	713
35	Moscow PEI	+4 (285:11)	.	+ (233:12)	.	.	.	+ (74:00)	.	.	+ (25:08)	+ (38:47)	5	735
36	Moscow IPT 2	+5 (292:14)	.	+3 (204:13)	.	.	.	+ (53:01)	.	.	+ (19:55)	+1 (46:26)	5	794
37	Belarusian SU 2	+3 (292:26)	.	+3 (175:44)	.	-4	.	+ (73:33)	.	.	+3 (61:17)	+2 (54:48)	5	875
38	Udmurt SU	.	.	+1 (95:09)	.	-6	.	+ (73:48)	.	.	+1 (14:10)	+ (26:50)	4	248
39	Latvia U 1	.	-4	+2 (95:41)	.	.	.	+ (49:35)	-2	-5	+1 (54:57)	+ (11:27)	4	269
40	Moscow IPT 1	-4	.	+2 (173:03)	.	.	.	+ (47:04)	-1	-1	+ (17:09)	+ (36:35)	4	313
41	Tyumen SU	.	-3	+1 (97:33)	.	.	.	+ (102:14)	.	.	+1 (52:25)	+ (30:17)	4	321
42	Moscow EPhI 2	.	.	+2 (164:29)	.	.	.	+ (70:40)	.	-4	+ (50:24)	+ (26:21)	4	350
42	Izhevsk STU 2	+ (210:14)	.	.	.	-5	.	+ (65:49)	.	.	+1 (18:03)	+ (37:35)	4	350
44	Perm SU 2	.	.	+ (225:05)	.	.	-1	+ (66:39)	.	.	+1 (48:37)	+1 (18:58)	4	397
45	Ufa SATU	.	.	+1 (280:21)	.	-5	.	+ (59:24)	.	.	+ (43:41)	+ (28:08)	4	430
46	Tomsk SU 2	.	.	+1 (131:31)	.	.	.	+ (197:17)	.	.	+ (39:44)	+ (59:13)	4	446
47	SPb SU 4	.	.	+2 (228:02)	.	.	.	+ (78:55)	.	.	+ (62:23)	+ (54:52)	4	462
48	Ivanovo SPU 1	.	.	+1 (184:59)	.	-4	.	+ (88:13)	.	.	+1 (70:03)	+1 (79:37)	4	481
49	Altai STU 2	-7	.	+1 (155:03)	.	.	.	+3 (119:37)	.	-1	+2 (62:41)	+ (47:29)	4	503
50	Yaroslavl SU	.	.	+3 (128:25)	.	-3	.	+ (71:21)	.	.	+2 (91:06)	+2 (74:45)	4	504
51	SPb Polytechnical U 2	.	.	+ (282:19)	.	.	.	+ (89:04)	.	.	+ (68:16)	+1 (50:41)	4	509
52	Vyatka SHU	-4	.	+3 (173:10)	.	.	.	+ (66:00)	-2	.	+3 (40:56)	+3 (54:02)	4	513
