Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
1	Kazakh NU 6	.	-2	+ (8:45)	-8	+ (139:56)	+ (110:51)	+ (23:13)	.	.	.	-3	4	280
2	Kazakh NTU 1	-2	.	+ (18:09)	-3	+ (242:41)	+1 (149:51)	+1 (51:08)	.	.	.	-1	4	500
3	Suleyman Demirel U 2	.	.	+ (9:32)	-2	+1 (209:34)	-3	+ (69:32)	.	.	.	.	3	307
4	Kazakh-British TU: Fiz-Mat	-1	.	+ (27:10)	.	.	+3 (176:42)	-6	.	.	.	.	2	263
5	Suleyman Demirel U 3	.	.	+2 (26:05)	+2 (187:27)	.	-2	.	.	.	.	.	2	293
6	Suleyman Demirel U 1: Aktobe	-1	.	+ (39:02)	+ (285:43)	.	-6	-3	.	.	.	.	2	324
7	Astana Eurasian NU 2	.	.	+1 (35:50)	-1	.	+5 (256:51)	-4	.	-4	.	.	2	411
8	Kazakh NU 14	.	.	+ (23:14)	.	.	+7 (283:36)	-1	.	.	.	-1	2	446
9	Kazakh-British TU 1	-4	-5	+ (10:10)	.	.	.	-2	.	.	.	.	1	10
10	Suleyman Demirel U 4	.	.	+ (20:57)	.	.	-4	-3	.	.	.	.	1	20
11	Karaganda STU 1	-2	.	+ (22:19)	-6	.	-4	.	.	.	-3	-2	1	22
12	Kazakh-British TU: EDA	-1	.	+ (30:25)	.	-16	.	-9	.	.	.	.	1	30
13	Astana Eurasian NU 4	.	.	+ (37:47)	-4	.	.	-4	.	.	.	.	1	37
14	Kazakh-British TU: AKA	-2	.	+ (43:52)	-4	.	.	-2	.	.	.	.	1	43
15	Karaganda STU 3	.	.	+ (62:11)	-1	.	.	.	.	.	.	.	1	62
16	Kazakh NU 7	.	.	+ (66:31)	.	.	-15	-6	.	.	.	.	1	66
17	Kazakh NU 8	.	.	+1 (60:58)	.	.	.	-4	.	.	.	.	1	80
18	Kazakh NU 1	.	.	+2 (55:38)	-3	.	-3	-1	.	.	.	.	1	95
19	Kazakh-British TU: FIT	.	.	+ (97:16)	-3	.	-9	.	.	.	.	.	1	97
20	East Kazakhstan STU 1	.	.	+ (101:09)	.	.	.	.	.	.	.	-1	1	101
21	Karaganda STU 2	.	.	+1 (96:10)	.	.	-5	-3	.	.	.	.	1	116
22	East Kazakhstan SU	.	.	+ (130:39)	-1	.	.	-2	.	.	.	-1	1	130
